,DBN,SAT.Critical.Reading.Avg..Score,SAT.Math.Avg..Score,SAT.Writing.Avg..Score,Pct.of.cohort.achieving.APM,pct.grad,fit.cluster
479,17K548,385,393,373,5.70%,0.681818182,2
482,17K568,372,356,335,0.00%,0.247191011,2
483,17K590,476,481,479,29.40%,0.95625,1
486,17K600,425,413,413,14.50%,0.583700441,2
488,17K625,365,363,355,3.00%,0.470149254,2
489,18K563,313,320,330,10.30%,0.878504673,2
492,18K566,374,377,394,5.10%,0.551282051,2
493,18K567,383,358,377,6.50%,0.725806452,2
496,18K569,368,378,346,3.40%,0.651685393,2
497,18K576,387,377,379,2.50%,0.703703704,2
501,18K589,361,360,359,7.30%,0.745454545,2
513,19K409,416,432,394,7.50%,0.835820896,1
517,19K502,341,349,333,4.00%,0.594059406,2
518,19K504,363,349,342,4.10%,0.628099174,2
521,19K507,380,386,383,2.90%,0.533333333,2
522,19K510,371,365,370,6.20%,0.639175258,2
525,19K583,279,322,286,5.70%,0.509433962,2
526,19K615,395,418,380,13.90%,0.761111111,2
532,19K659,376,385,368,3.50%,0.469026549,2
535,19K660,370,369,363,1.70%,0.456066946,2
538,20K445,402,471,399,24.20%,0.694573643,1
540,20K485,425,474,424,30.20%,0.785498489,1
541,20K490,417,478,411,27.20%,0.646853147,1
544,20K505,383,486,375,19.80%,0.551094891,2
546,21K337,326,386,314,6.50%,0.370967742,2
547,21K344,402,427,408,14.50%,0.632478632,2
549,21K348,388,398,378,10.20%,0.644067797,2
551,21K410,396,437,393,16.90%,0.583798883,2
553,21K525,468,496,467,40.50%,0.71935157,1
556,21K540,404,468,390,23.30%,0.616643929,1
557,21K559,384,375,365,13.50%,0.783783784,2
561,21K620,394,414,376,2.80%,0.460992908,2
563,21K690,429,449,435,22.00%,0.661016949,1
565,21K728,411,369,373,3.10%,0.237113402,2
568,22K405,478,519,476,53.40%,0.82832618,1
570,22K425,436,475,439,29.60%,0.658402204,1
572,22K495,383,392,370,8.60%,0.567043619,2
574,22K535,524,561,542,72.90%,0.958015267,3
575,22K555,456,456,440,39.30%,0.986666667,1
577,23K493,389,409,387,4.80%,0.60952381,2
580,23K514,361,371,359,5.40%,0.608695652,2
585,23K647,350,346,332,0.00%,0.296703297,2
588,23K697,392,416,388,16.50%,0.659340659,2
590,24Q264,405,454,421,22.20%,0.863247863,1
592,24Q267,406,413,400,9.50%,0.663157895,2
594,24Q296,317,323,311,1.30%,0.425,2
596,24Q299,545,568,550,72.70%,0.927272727,3
598,24Q455,383,440,380,11.60%,0.570186335,2
600,24Q485,395,420,396,12.20%,0.491719745,2
601,24Q550,391,403,380,12.20%,0.751322751,2
604,24Q560,443,447,440,13.90%,0.713043478,1
605,24Q600,417,447,406,15.60%,0.722222222,1
608,24Q610,445,496,423,41.10%,0.825059102,1
611,25Q263,314,417,318,10.80%,0.537634409,2
614,25Q281,416,463,392,24.10%,0.831325301,1
615,25Q285,471,489,481,25.00%,0.875,1
618,25Q425,397,451,395,14.70%,0.617647059,2
619,25Q460,393,441,382,13.90%,0.556802244,2
622,25Q525,621,651,638,99.60%,0.996336996,3
623,25Q540,398,382,388,3.20%,0.203208556,2
625,25Q670,431,458,441,20.50%,0.668421053,1
630,26Q415,480,545,489,49.30%,0.83014862,1
632,26Q430,468,539,467,48.70%,0.801199657,1
634,26Q435,391,397,384,6.00%,0.585175553,2
636,26Q495,462,523,464,50.20%,0.83436214,1
638,26Q566,425,434,420,17.10%,0.822299652,1
639,27Q260,387,385,373,4.80%,0.666666667,2
642,27Q262,432,419,401,20.80%,0.841584158,1
645,27Q323,499,537,496,82.00%,1,3
647,27Q400,377,371,360,0.70%,0.492857143,2
649,27Q410,384,396,354,2.70%,0.398395722,2
651,27Q475,382,404,368,8.00%,0.489892985,2
653,27Q480,391,409,392,9.00%,0.573170732,2
655,27Q650,429,491,425,33.80%,0.974358974,1
659,28Q440,456,497,454,33.00%,0.817916261,1
661,28Q470,342,368,353,8.00%,0.451871658,2
663,28Q505,395,413,386,12.90%,0.683920705,2
665,28Q620,452,478,442,43.90%,0.840836013,1
667,28Q680,513,523,502,70.40%,0.959183673,3
669,28Q687,612,660,596,83.90%,0.965517241,3
671,28Q690,406,406,384,3.10%,0.76744186,2
672,28Q896,439,445,432,28.10%,0.894736842,1
674,29Q248,360,380,359,12.80%,0.638297872,2
676,29Q259,401,397,375,1.70%,0.716666667,2
678,29Q265,402,398,402,6.10%,0.684210526,2
680,29Q272,436,427,424,5.40%,0.72972973,1
682,29Q283,370,367,363,3.60%,0.618181818,2
684,29Q492,400,426,394,23.20%,0.704,1
686,29Q494,385,377,377,6.70%,0.516666667,2
688,29Q496,379,414,359,3.40%,0.478991597,2
690,29Q498,393,381,377,3.70%,0.719626168,2
692,30Q445,414,449,412,25.30%,0.53342246,2
694,30Q450,403,420,395,17.40%,0.614921781,2
696,30Q501,504,496,494,33.30%,0.891304348,1
698,30Q502,407,434,398,14.10%,0.685483871,2
700,30Q555,323,475,329,25.90%,0.700404858,2
702,30Q575,487,492,491,45.20%,0.84516129,1
704,30Q580,524,568,544,81.30%,0.984375,3
706,31R047,452,451,450,29.40%,0.941176471,1
709,31R080,472,488,466,28.30%,0.858267717,1
711,31R440,424,437,416,16.60%,0.723183391,1
713,31R445,424,438,417,13.70%,0.632107023,1
715,31R450,437,435,429,14.00%,0.687409551,1
717,31R455,462,486,470,33.30%,0.805776892,1
719,31R460,455,474,459,30.90%,0.792378449,1
721,31R470,466,455,414,0.00%,0.277108434,2
723,31R600,416,422,397,12.50%,0.601190476,2
725,31R605,635,682,636,97.60%,1,3
727,32K403,380,366,352,1.90%,0.640776699,2
729,32K545,384,409,361,10.70%,0.579881657,2
731,32K549,348,353,334,5.80%,0.669902913,2
733,32K552,342,364,354,8.10%,0.577235772,2
735,32K554,428,465,422,17.10%,1,1
737,32K556,347,358,350,3.60%,0.47826087,2
