DBN,Grade
30Q212,A
30Q227,B
30Q230,B
30Q234,C
30Q235,A
30Q286,C
30Q580,B
31R001,B
31R002,C
31R003,C
31R004,B
31R005,C
31R006,C
31R007,A
31R008,A
31R011,D
31R013,A
31R014,
31R016,C
31R018,B
31R019,B
31R020,B
31R021,B
31R022,C
31R023,B
31R024,C
31R026,C
31R027,C
31R029,B
31R030,C
31R031,C
31R032,C
31R034,A
31R035,A
31R036,C
31R038,B
31R039,D
31R041,C
31R042,C
31R044,B
31R045,C
31R046,C
31R048,B
31R049,C
31R050,C
31R051,C
31R052,C
31R053,B
31R054,C
31R055,C
31R056,C
31R057,C
31R058,B
31R060,B
31R061,C
31R063,A
31R065,A
31R069,C
31R072,C
31R075,B
31R080,C
31R861,A
32K045,B
32K075,C
32K086,B
32K106,A
32K116,A
32K123,B
32K145,B
32K151,C
32K162,B
32K274,B
32K291,C
32K296,
32K299,A
32K347,C
32K349,D
32K376,C
32K377,C
32K383,C
32K384,A
32K554,C
84K355,A
84K356,A
84K357,A
84K358,B
84K359,D
84K362,A
84K386,
84K508,A
84K517,B
84K536,C
84K538,A
84K593,C
84K608,B
84K626,A
84K648,A
84K649,B
84K651,A
84K652,A
84K701,A
84K702,B
84K703,B
84K704,A
84K707,B
84K710,A
84K726,C
84K730,B
84K731,B
84K740,C
84K742,C
84K744,A
84K777,A
84K780,A
84K782,B
84K791,B
84M279,C
84M284,B
84M320,B
84M329,A
84M330,B
84M335,B
84M336,A
84M341,C
84M350,A
84M351,A
84M353,B
84M382,A
84M384,A
84M385,A
84M386,A
84M388,B
84M430,A
84M478,A
84M481,A
84M524,
84M702,C
84M704,B
84M705,B
84M708,A
84M709,A
84M726,B
84M861,B
84Q170,B
84Q304,B
84Q341,A
84Q704,B
84Q705,B
84Q706,C
84R067,B
84R073,C
84X165,A
84X185,D
84X255,A
84X309,A
84X345,D
84X346,A
84X378,A
84X389,A
84X394,D
84X398,D
84X407,B
84X419,A
84X422,A
84X482,F
84X488,A
84X496,A
84X703,D
84X704,A
84X705,A
84X706,A
84X717,A
84X718,B
84X730,C
01M292,C
01M448,B
01M450,A
01M509,C
01M539,A
01M696,B
02M047,B
02M288,A
02M294,B
02M296,A
02M298,A
02M300,C
02M303,A
02M305,A
02M308,A
02M316,B
02M374,C
02M376,B
02M392,
02M393,
02M399,
02M400,B
02M407,A
02M408,B
02M411,A
02M412,A
02M413,A
02M414,A
02M416,A
02M418,A
02M419,C
02M420,B
02M425,C
02M427,
02M429,
02M437,
02M438,
02M439,A
02M440,
02M449,A
02M459,A
02M460,
02M475,A
02M489,B
02M500,A
02M507,
02M519,A
02M520,D
02M529,B
02M531,A
02M542,A
02M543,A
02M545,A
02M551,A
02M580,B
02M600,A
02M615,B
02M620,
02M625,F
02M630,B
02M655,B
03M283,
03M299,B
03M307,B
03M402,
03M403,
03M415,C
03M417,
03M470,
03M479,A
03M485,A
03M492,A
03M494,C
03M541,A
03M860,A
04M409,D
04M435,B
04M495,B
04M555,A
04M610,A
04M635,
04M680,C
05M304,C
05M362,
05M367,F
05M369,C
05M469,F
05M499,C
05M670,B
05M685,F
05M692,A
06M293,A
06M346,B
06M348,A
06M462,B
06M463,B
06M467,B
06M468,C
06M540,D
06M552,A
07X221,A
07X334,B
07X427,B
07X473,B
07X495,A
07X500,B
07X520,C
07X522,
07X527,C
07X547,B
07X548,B
07X551,B
07X600,B
07X655,
07X670,C
08X269,
08X282,C
08X293,B
08X295,
08X305,B
08X312,B
08X332,D
08X367,
08X376,
08X405,D
08X432,
08X452,A
08X519,C
08X530,C
08X540,
08X650,
09X227,A
09X231,B
09X239,
09X241,A
09X250,B
09X252,B
09X260,A
09X263,B
09X276,D
09X297,B
09X324,
09X329,B
09X365,A
09X403,A
09X404,A
09X412,C
09X413,B
09X414,D
09X505,B
09X517,B
09X525,B
09X543,B
10X141,B
10X213,B
10X225,B
10X237,C
10X243,C
10X268,B
10X284,B
10X342,A
10X368,C
10X374,B
10X397,C
10X433,B
10X434,B
10X437,A
10X438,F
10X439,C
10X440,F
10X442,B
10X445,A
10X475,
10X477,A
10X524,
10X546,B
10X549,A
10X660,
10X696,A
11X253,C
11X265,B
11X270,B
11X275,A
11X288,B
11X290,A
11X299,B
11X415,
11X418,C
11X455,A
11X508,
11X509,
11X513,A
11X514,C
11X541,
11X542,B
11X544,B
11X545,A
12X242,
12X245,
12X248,A
12X251,A
12X262,
12X267,A
12X271,B
12X278,D
12X372,
12X388,A
12X478,
12X479,
12X511,
12X521,
12X550,B
12X682,B
12X684,C
12X690,
12X692,C
13K265,B
13K336,
13K350,B
13K412,B
13K419,B
13K430,B
13K439,A
13K483,A
13K499,B
13K509,F
13K527,
13K595,A
13K605,C
13K670,B
13K674,
14K071,C
14K322,F
14K449,B
14K454,B
14K474,B
14K477,C
14K478,B
14K488,A
14K558,A
14K561,A
14K586,B
14K610,C
14K614,
14K632,A
14K685,A
15K429,B
15K448,A
15K462,C
15K463,C
15K464,C
15K497,B
15K519,B
15K530,
15K656,C
15K667,
15K684,
16K393,D
16K455,F
16K498,A
16K594,B
16K688,
17K122,
17K382,B
17K408,C
17K524,A
17K528,C
17K531,A
17K533,C
17K537,A
17K539,A
17K543,A
17K544,
17K546,A
17K547,C
17K548,B
17K590,B
17K600,C
17K625,
17K751,
18K563,A
18K566,C
18K567,C
18K569,A
18K576,A
18K589,C
18K617,C
18K629,B
18K633,A
18K637,C
18K642,C
19K404,B
19K409,C
19K420,
19K502,B
19K504,C
19K507,B
19K510,B
19K583,D
19K615,C
19K618,B
19K639,D
19K659,D
19K660,B
19K683,A
20K445,B
20K485,A
20K490,B
20K505,B
20K609,
21K337,B
21K344,B
21K348,C
21K410,C
21K468,
21K525,B
21K540,B
21K559,B
21K572,B
21K620,B
21K690,B
22K405,B
22K425,B
22K495,D
22K535,A
22K555,A
23K493,C
23K514,C
23K644,
23K697,B
24Q264,A
24Q267,A
24Q293,A
24Q296,D
24Q299,A
24Q455,B
24Q485,B
24Q520,B
24Q530,A
24Q550,A
24Q560,C
24Q585,
24Q600,B
24Q610,A
25Q252,B
25Q263,B
25Q281,B
25Q285,A
25Q425,C
25Q460,D
25Q525,A
25Q670,B
26Q415,B
26Q430,A
26Q435,C
26Q495,A
26Q566,B
27Q260,C
27Q262,A
27Q302,C
27Q308,A
27Q309,B
27Q323,A
27Q324,
27Q351,
27Q400,D
27Q410,
27Q475,C
27Q480,C
27Q650,B
28Q157,
28Q284,
28Q310,A
28Q325,
28Q328,
28Q350,A
28Q440,A
28Q470,
28Q505,B
28Q620,A
28Q680,B
28Q686,
28Q687,A
28Q690,B
28Q896,B
29Q248,B
29Q259,C
29Q265,A
29Q272,C
29Q283,A
29Q326,
29Q492,C
29Q494,D
29Q496,D
29Q498,B
30Q286,
30Q301,A
30Q445,C
30Q450,C
30Q501,A
30Q502,C
30Q555,A
30Q575,A
30Q580,A
31R047,A
31R064,A
31R080,A
31R440,B
31R445,B
31R450,B
31R455,B
31R460,A
31R600,B
31R605,A
32K168,
32K403,A
32K545,B
32K549,B
32K552,C
32K554,A
32K556,C
84K359,
84K473,B
84K693,
84K694,
84K888,
84K999,
84M279,
84M284,A
84M350,
84M353,A
84M433,
84M522,
84M888,C
84M999,
84Q705,B
84X185,
84X345,
84X347,A
84X393,A
84X395,B
84X539,
84X553,
84X703,D
01M458,C
01M515,A
01M650,A
02M313,C
02M394,
02M432,
02M544,C
02M550,A
02M560,C
02M565,A
02M570,A
02M575,A
02M586,B
02M605,B
03M404,C
03M505,C
05M285,A
06M423,
07X321,B
07X379,C
07X381,C
08X377,C
08X537,
08X560,
10X319,B
12X446,B
12X480,F
13K553,A
13K575,C
13K616,B
15K423,
15K520,
15K529,A
15K698,C
17K489,C
17K568,A
18K578,B
18K635,C
18K673,B
21K728,B
23K643,B
23K646,D
23K647,A
24Q744,A
25Q540,B
25Q792,B
28Q338,D
31R470,A
32K564,C
02M473,B
06M457,A
07X456,B
08X408,B
08X507,C
10X503,B
10X504,C
10X667,B
11X417,B
12X428,B
13K657,B
14K923,B
17K467,B
18K922,B
19K431,A
19K501,A
20K658,B
21K411,B
24Q457,A
25Q467,A
27Q487,A
31R607,B
