DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Pct of cohort achieving APM,pct grad 
25Q460,FLUSHING HIGH SCHOOL,2006,588,332,8.50%,0.56462585
25Q460,FLUSHING HIGH SCHOOL,2007,713,397,13.90%,0.556802244
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006,278,278,99.30%,1
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2007,273,272,99.60%,0.996336996
25Q540,QUEENS ACADEMY HIGH SCHOOL,2006,141,31,5.00%,0.219858156
25Q540,QUEENS ACADEMY HIGH SCHOOL,2007,187,38,3.20%,0.203208556
25Q670,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,2006,159,90,22.00%,0.566037736
25Q670,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,2007,190,127,20.50%,0.668421053
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006,62,12,s,0.193548387
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2007,66,11,s,0.166666667
26Q415,BENJAMIN N CARDOZO HIGH SCHOOL,2006,981,786,46.70%,0.801223242
26Q415,BENJAMIN N CARDOZO HIGH SCHOOL,2007,942,782,49.30%,0.83014862
26Q430,FRANCIS LEWIS HIGH SCHOOL,2006,"1,209",897,46.70%,0.741935484
26Q430,FRANCIS LEWIS HIGH SCHOOL,2007,"1,167",935,48.70%,0.801199657
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,755,474,13.80%,0.62781457
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2007,769,450,6.00%,0.585175553
26Q495,BAYSIDE HIGH SCHOOL,2006,902,723,50.30%,0.801552106
26Q495,BAYSIDE HIGH SCHOOL,2007,972,811,50.20%,0.83436214
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND S",2006,281,235,19.60%,0.836298932
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND S",2007,287,236,17.10%,0.822299652
27Q180,ROCKAWAY BEACH SCHOOL,2006,1,0,s,0
27Q260,FREDERICK DOUGLAS ACADEMY VI HIGH SCHOOL,2006,95,68,11.60%,0.715789474
27Q260,FREDERICK DOUGLAS ACADEMY VI HIGH SCHOOL,2007,105,70,4.80%,0.666666667
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2006,71,67,19.70%,0.943661972
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2007,101,85,20.80%,0.841584158
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH AND T",2006,2,0,s,0
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH AND T",2007,12,0,s,0
27Q323,SCHOLARS' ACADEMY,2007,100,100,82.00%,1
27Q400,AUGUST MARTIN HIGH SCHOOL,2006,288,154,2.80%,0.534722222
27Q400,AUGUST MARTIN HIGH SCHOOL,2007,280,138,0.70%,0.492857143
27Q410,BEACH CHANNEL HIGH SCHOOL,2006,389,189,2.60%,0.485861183
27Q410,BEACH CHANNEL HIGH SCHOOL,2007,374,149,2.70%,0.398395722
27Q465,FAR ROCKAWAY HIGH SCHOOL,2006,164,66,2.40%,0.402439024
27Q465,FAR ROCKAWAY HIGH SCHOOL,2007,91,50,1.10%,0.549450549
27Q475,RICHMOND HILL HIGH SCHOOL,2006,867,451,9.30%,0.520184544
27Q475,RICHMOND HILL HIGH SCHOOL,2007,841,412,8.00%,0.489892985
27Q480,JOHN ADAMS HIGH SCHOOL,2006,808,460,8.00%,0.569306931
27Q480,JOHN ADAMS HIGH SCHOOL,2007,984,564,9.00%,0.573170732
27Q650,"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHI",2006,177,156,22.00%,0.881355932
27Q650,"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHI",2007,195,190,33.80%,0.974358974
28Q310,QUEENS COLLEGIATE - A COLLEGE BOARD SCHOOL,2007,1,0,s,0
28Q338,QUEENS SATELLITE HIGH SCHOOL,2007,104,3,s,0.028846154
28Q440,FOREST HILLS HIGH SCHOOL,2006,959,811,38.60%,0.845672576
28Q440,FOREST HILLS HIGH SCHOOL,2007,"1,027",840,33.00%,0.817916261
28Q470,JAMAICA HIGH SCHOOL,2006,394,190,7.40%,0.482233503
28Q470,JAMAICA HIGH SCHOOL,2007,374,169,8.00%,0.451871658
28Q505,HILLCREST HIGH SCHOOL,2006,766,490,13.30%,0.639686684
28Q505,HILLCREST HIGH SCHOOL,2007,908,621,12.90%,0.683920705
28Q620,THOMAS A EDISON CAREER AND TECHNICAL HIGH SCHOOL,2006,819,695,43.00%,0.848595849
28Q620,THOMAS A EDISON CAREER AND TECHNICAL HIGH SCHOOL,2007,622,523,43.90%,0.840836013
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,2006,117,109,57.30%,0.931623932
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,2007,98,94,70.40%,0.959183673
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,2006,107,102,93.50%,0.953271028
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,2007,87,84,83.90%,0.965517241
28Q690,HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY,2006,126,96,12.70%,0.761904762
28Q690,HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY,2007,129,99,3.10%,0.76744186
28Q896,YOUNG WOMEN'S LEADERSHIP SCHOOL OF QUEENS,2007,57,51,28.10%,0.894736842
29Q248,QUEENS PREPARATORY ACADEMY,2006,95,68,8.40%,0.715789474
29Q248,QUEENS PREPARATORY ACADEMY,2007,94,60,12.80%,0.638297872
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL,2006,64,52,3.10%,0.8125
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL,2007,60,43,1.70%,0.716666667
29Q265,EXCELSIOR PREPARATORTY HIGH SCHOOL,2006,91,55,6.60%,0.604395604
29Q265,EXCELSIOR PREPARATORTY HIGH SCHOOL,2007,114,78,6.10%,0.684210526
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,2006,103,81,27.20%,0.786407767
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,2007,111,81,5.40%,0.72972973
29Q283,PREPARATORY ACADEMY FOR WRITERS,2006,36,28,0.00%,0.777777778
29Q283,PREPARATORY ACADEMY FOR WRITERS,2007,55,34,3.60%,0.618181818
29Q492,MATH/SCIENCE RESEARCH AND TECHNOLOGY MAGNET HS,2006,108,73,20.40%,0.675925926
29Q492,MATH/SCIENCE RESEARCH AND TECHNOLOGY MAGNET HS,2007,125,88,23.20%,0.704
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",2006,125,72,11.20%,0.576
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",2007,120,62,6.70%,0.516666667
29Q496,BUSINESS/COMPUTER APPLICATIONS & ENTREPRENEURSHIP,2006,116,52,1.70%,0.448275862
29Q496,BUSINESS/COMPUTER APPLICATIONS & ENTREPRENEURSHIP,2007,119,57,3.40%,0.478991597
29Q498,HUMANITIES AND ARTS MAGNET HIGH SCHOOL,2006,94,72,7.40%,0.765957447
29Q498,HUMANITIES AND ARTS MAGNET HIGH SCHOOL,2007,107,77,3.70%,0.719626168
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,2006,810,449,24.10%,0.554320988
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,2007,748,399,25.30%,0.53342246
30Q450,LONG ISLAND CITY HIGH SCHOOL,2006,718,420,17.70%,0.584958217
30Q450,LONG ISLAND CITY HIGH SCHOOL,2007,831,511,17.40%,0.614921781
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,2006,171,162,49.70%,0.947368421
