DBN,R,M,W,SAT
21K559,384,375,365,1124
21K572,353,370,356,1079
21K620,394,414,376,1184
21K690,429,449,435,1313
21K728,411,369,373,1153
22K405,478,519,476,1473
22K425,436,475,439,1350
22K495,383,392,370,1145
22K535,524,561,542,1627
22K555,456,456,440,1352
23K493,389,409,387,1185
23K514,361,371,359,1091
23K643,349,338,331,1018
23K646,311,371,311,993
23K647,350,346,332,1028
23K697,392,416,388,1196
24Q264,405,454,421,1280
24Q267,406,413,400,1219
24Q293,404,429,407,1240
24Q296,317,323,311,951
24Q299,545,568,550,1663
24Q455,383,440,380,1203
24Q457,s,s,s,0
24Q485,395,420,396,1211
24Q520,399,393,385,1177
24Q530,326,409,329,1064
24Q550,391,403,380,1174
24Q560,443,447,440,1330
24Q600,417,447,406,1270
24Q610,445,496,423,1364
24Q744,s,s,s,0
25Q252,455,498,443,1396
25Q263,314,417,318,1049
25Q281,416,463,392,1271
25Q285,471,489,481,1441
25Q425,397,451,395,1243
25Q460,393,441,382,1216
25Q467,378,373,344,1095
25Q525,621,651,638,1910
25Q540,398,382,388,1168
25Q670,431,458,441,1330
25Q792,379,421,377,1177
26Q415,480,545,489,1514
26Q430,468,539,467,1474
26Q435,391,397,384,1172
26Q495,462,523,464,1449
26Q566,425,434,420,1279
27Q260,387,385,373,1145
27Q262,432,419,401,1252
27Q302,391,401,364,1156
27Q308,423,426,416,1265
27Q309,367,379,348,1094
27Q323,499,537,496,1532
27Q400,377,371,360,1108
27Q410,384,396,354,1134
27Q475,382,404,368,1154
27Q480,391,409,392,1192
27Q650,429,491,425,1345
28Q284,s,s,s,0
28Q310,420,445,400,1265
28Q325,s,s,s,0
28Q338,403,408,367,1178
28Q350,430,452,425,1307
28Q440,456,497,454,1407
28Q470,342,368,353,1063
28Q505,395,413,386,1194
28Q620,452,478,442,1372
28Q680,513,523,502,1538
28Q686,s,s,s,0
28Q687,612,660,596,1868
28Q690,406,406,384,1196
28Q896,439,445,432,1316
29Q248,360,380,359,1099
29Q259,401,397,375,1173
29Q265,402,398,402,1202
29Q272,436,427,424,1287
29Q283,370,367,363,1100
29Q326,s,s,s,0
29Q492,400,426,394,1220
29Q494,385,377,377,1139
29Q496,379,414,359,1152
29Q498,393,381,377,1151
30Q286,s,s,s,0
30Q301,410,440,405,1255
30Q445,414,449,412,1275
30Q450,403,420,395,1218
30Q501,504,496,494,1494
30Q502,407,434,398,1239
30Q555,323,475,329,1127
30Q575,487,492,491,1470
30Q580,524,568,544,1636
31R047,452,451,450,1353
31R064,398,412,385,1195
31R080,472,488,466,1426
31R440,424,437,416,1277
31R445,424,438,417,1279
31R450,437,435,429,1301
31R455,462,486,470,1418
31R460,455,474,459,1388
31R470,466,455,414,1335
31R600,416,422,397,1235
31R605,635,682,636,1953
31R607,405,375,370,1150
32K403,380,366,352,1098
32K545,384,409,361,1154
32K549,348,353,334,1035
32K552,342,364,354,1060
32K554,428,465,422,1315
32K556,347,358,350,1055
32K564,359,317,358,1034
75K371,s,s,s,0
75M035,s,s,s,0
75Q256,s,s,s,0
75Q811,429,444,433,1306
75R025,s,s,s,0
75X012,s,s,s,0
75X754,s,s,s,0
79M645,s,s,s,0
79Q950,496,400,426,1322
79X490,367,370,360,1097
