DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
19K502,LOW,LOW,LOW,B,MED
19K504,LOW,LOW,LOW,C,MED
19K507,MED,LOW,LOW,B,MED
19K510,LOW,MED,LOW,B,MED
19K583,LOW,MED,LOW,D,LOW
19K615,MED,MED,LOW,C,HIGH
19K618,LOW,<NA>,<NA>,B,LOW
19K639,LOW,<NA>,<NA>,D,LOW
19K659,MED,LOW,LOW,D,LOW
19K660,LOW,LOW,LOW,B,LOW
19K683,MED,<NA>,<NA>,A,LOW
19K751,<NA>,<NA>,<NA>,<NA>,<NA>
19K769,<NA>,<NA>,<NA>,<NA>,<NA>
19K774,<NA>,<NA>,<NA>,<NA>,<NA>
20K445,HIGH,HIGH,MED,B,MED
20K485,HIGH,HIGH,MED,A,HIGH
20K490,HIGH,HIGH,MED,B,MED
20K505,HIGH,HIGH,LOW,B,MED
21K337,LOW,MED,LOW,B,LOW
21K344,HIGH,MED,LOW,B,MED
21K348,MED,MED,LOW,C,MED
21K410,HIGH,HIGH,LOW,C,MED
21K468,<NA>,<NA>,<NA>,B,<NA>
21K468,<NA>,<NA>,<NA>,,<NA>
21K525,HIGH,HIGH,MED,B,HIGH
21K540,HIGH,HIGH,MED,B,MED
21K559,MED,MED,LOW,B,HIGH
21K572,LOW,<NA>,<NA>,B,LOW
21K690,HIGH,HIGH,MED,B,MED
21K690,HIGH,HIGH,MED,A,MED
21K728,MED,LOW,LOW,B,LOW
21K744,<NA>,<NA>,<NA>,<NA>,<NA>
22K405,HIGH,HIGH,MED,B,HIGH
22K555,HIGH,HIGH,MED,A,HIGH
22K555,HIGH,HIGH,MED,C,HIGH
23K493,MED,LOW,LOW,C,MED
23K493,MED,LOW,LOW,,MED
23K514,LOW,LOW,LOW,C,MED
23K643,LOW,<NA>,<NA>,B,LOW
23K646,LOW,<NA>,<NA>,D,LOW
23K647,LOW,LOW,LOW,A,LOW
23K697,MED,HIGH,LOW,F,MED
23K697,MED,HIGH,LOW,B,MED
23K710,<NA>,<NA>,<NA>,<NA>,<NA>
