DBN,SAT,Regents,Gradrate
18K642,1135,NA,NA
18K673,1191,NA,0.102272727
19K409,1242,0.08,0.835820896
19K420,NA,0.05,0.448795181
19K502,1023,0.04,0.594059406
19K504,1054,0.04,0.628099174
19K507,1149,0.03,0.533333333
19K510,1106,0.06,0.639175258
19K583,887,0.06,0.509433962
19K615,1193,0.14,0.761111111
19K618,1096,NA,NA
19K639,1108,NA,NA
19K659,1129,0.04,0.469026549
19K660,1102,0.02,0.456066946
19K683,1157,NA,NA
20K445,1272,0.24,0.694573643
20K485,1323,0.3,0.785498489
20K490,1306,0.27,0.646853147
20K505,1244,0.2,0.551094891
20K658,1131,NA,NA
21K337,1026,0.07,0.370967742
21K344,1237,0.15,0.632478632
21K348,1164,0.1,0.644067797
21K410,1226,0.17,0.583798883
21K525,1431,0.41,0.71935157
21K540,1262,0.23,0.616643929
21K559,1124,0.14,0.783783784
21K572,1079,NA,0.371428571
21K620,1184,0.03,0.460992908
21K690,1313,0.22,0.661016949
21K728,1153,0.03,0.237113402
22K405,1473,0.53,0.82832618
22K425,1350,0.3,0.658402204
22K495,1145,0.09,0.567043619
22K535,1627,0.73,0.958015267
22K555,1352,0.39,0.986666667
23K493,1185,0.05,0.60952381
23K514,1091,0.05,0.608695652
23K643,1018,NA,0.134831461
23K646,993,NA,0.067961165
23K647,1028,0,0.296703297
23K697,1196,0.17,0.659340659
24Q264,1280,0.22,0.863247863
24Q267,1219,0.1,0.663157895
24Q293,1240,NA,NA
24Q296,951,0.01,0.425
24Q299,1663,0.73,0.927272727
24Q455,1203,0.12,0.570186335
24Q485,1211,0.12,0.491719745
24Q520,1177,NA,NA
24Q530,1064,NA,NA
24Q550,1174,0.12,0.751322751
24Q560,1330,0.14,0.713043478
24Q600,1270,0.16,0.722222222
24Q610,1364,0.41,0.825059102
24Q744,NA,NA,0.142857143
25Q252,1396,NA,NA
25Q263,1049,0.11,0.537634409
25Q281,1271,0.24,0.831325301
25Q285,1441,0.25,0.875
25Q425,1243,0.15,0.617647059
25Q460,1216,0.14,0.556802244
25Q467,1095,NA,NA
25Q525,1910,1,0.996336996
25Q540,1168,0.03,0.203208556
25Q670,1330,0.21,0.668421053
25Q792,1177,NA,0.166666667
26Q415,1514,0.49,0.83014862
26Q430,1474,0.49,0.801199657
26Q435,1172,0.06,0.585175553
26Q495,1449,0.5,0.83436214
26Q566,1279,0.17,0.822299652
27Q260,1145,0.05,0.666666667
27Q262,1252,0.21,0.841584158
27Q302,1156,NA,NA
27Q308,1265,NA,NA
27Q309,1094,NA,NA
27Q323,1532,0.82,1
27Q400,1108,0.01,0.492857143
27Q410,1134,0.03,0.398395722
27Q475,1154,0.08,0.489892985
27Q480,1192,0.09,0.573170732
27Q650,1345,0.34,0.974358974
